"IPAddress","Name","Status","ErrorMessage"
"13.107.213.57","","NOT_OK","No se pudo encontrar el nombre de host"
"13.107.246.57","","NOT_OK","No se pudo encontrar el nombre de host"
"162.159.135.42","","NOT_OK","No se pudo encontrar el nombre de host"
"192.124.249.39","cloudproxy10039.sucuri.net","OK",""
"192.124.249.59","cloudproxy10059.sucuri.net","OK",""
"192.124.249.63","cloudproxy10063.sucuri.net","OK",""
"20.190.155.65","","NOT_OK","No se pudo encontrar el nombre de host"
"20.190.155.132","","NOT_OK","No se pudo encontrar el nombre de host"
"20.190.155.16","","NOT_OK","No se pudo encontrar el nombre de host"
"40.126.27.128","","NOT_OK","No se pudo encontrar el nombre de host"
"20.190.155.66","","NOT_OK","No se pudo encontrar el nombre de host"
"20.190.155.67","","NOT_OK","No se pudo encontrar el nombre de host"
"20.190.155.3","","NOT_OK","No se pudo encontrar el nombre de host"
"20.190.155.130","","NOT_OK","No se pudo encontrar el nombre de host"
"40.99.247.40","","NOT_OK","No se pudo encontrar el nombre de host"
"40.99.247.24","","NOT_OK","No se pudo encontrar el nombre de host"
"40.99.249.72","","NOT_OK","No se pudo encontrar el nombre de host"
"52.96.47.88","","NOT_OK","No se pudo encontrar el nombre de host"
"40.97.221.120","","NOT_OK","No se pudo encontrar el nombre de host"
"2603:1061:0:700::9","ns1-09.azure-dns.com","OK",""
"204.14.183.6","ns3-06.azure-dns.org","OK",""
"13.107.213.67","","NOT_OK","No se pudo encontrar el nombre de host"
"13.107.226.67","","NOT_OK","No se pudo encontrar el nombre de host"
"13.107.246.67","","NOT_OK","No se pudo encontrar el nombre de host"
"205.220.162.163","mx0a-004d0901.pphosted.com","OK",""
"52.96.228.136","","NOT_OK","No se pudo encontrar el nombre de host"
"13.107.213.69","","NOT_OK","No se pudo encontrar el nombre de host"
"2603:1061:0:700::1","ns1-01.azure-dns.com","OK",""
"2a01:111:4000:700::6","ns3-06.azure-dns.org","OK",""
"13.107.246.45","","NOT_OK","No se pudo encontrar el nombre de host"
"13.107.246.69","","NOT_OK","No se pudo encontrar el nombre de host"
"2620:1ec:8ec:700::1","ns2-01.azure-dns.net","OK",""
"52.96.166.216","","NOT_OK","No se pudo encontrar el nombre de host"
"52.162.163.136","","NOT_OK","No se pudo encontrar el nombre de host"
"2620:1ec:8ec:700::6","ns2-06.azure-dns.net","OK",""
"200.88.48.242","242.48.88.200.l.static.claro.net.do","OK",""
"2620:1ec:bda:700::6","ns4-06.azure-dns.info","OK",""
"208.84.5.9","ns4-09.azure-dns.info","OK",""
"52.96.111.56","","NOT_OK","No se pudo encontrar el nombre de host"
"2603:1061:0:700::6","ns1-06.azure-dns.com","OK",""
"13.107.236.6","ns1-06.azure-dns.com","OK",""
"52.96.9.184","","NOT_OK","No se pudo encontrar el nombre de host"
"190.80.254.174","bancentral.gov.do","OK",""
"52.96.166.168","","NOT_OK","No se pudo encontrar el nombre de host"
"2a01:111:4000:700::9","ns3-09.azure-dns.org","OK",""
"13.107.213.65","","NOT_OK","No se pudo encontrar el nombre de host"
"52.96.111.40","","NOT_OK","No se pudo encontrar el nombre de host"
"20.190.151.6","","NOT_OK","No se pudo encontrar el nombre de host"
"150.171.21.6","ns2-06.azure-dns.net","OK",""
"2a01:111:4000:700::1","ns3-01.azure-dns.org","OK",""
"52.96.26.168","","NOT_OK","No se pudo encontrar el nombre de host"
"13.107.236.1","ns1-01.azure-dns.com","OK",""
"13.107.253.67","","NOT_OK","No se pudo encontrar el nombre de host"
"20.190.190.130","","NOT_OK","No se pudo encontrar el nombre de host"
"208.84.5.6","ns4-06.azure-dns.info","OK",""
"13.107.246.64","","NOT_OK","No se pudo encontrar el nombre de host"
"13.107.236.9","ns1-09.azure-dns.com","OK",""
