"IPv6 P̼blica","IPv4 P̼blica","FQDN P̼blico","Status","ErrorMessage"
"","200.94.182.70,200.94.182.71,200.94.182.73,200.94.182.72","vpnnic.nic.mx","OK",""
"","45.60.113.212","www.dominios.mx","OK",""
"2a02:e981:4b::d4","45.60.113.212","www.iar.mx","OK",""
"2a02:e981:4b::d4","45.60.113.212","www.nicmexico.mx","OK",""
"2a02:e981:4b::d4","45.60.113.212","www.registry.mx","OK",""
"2001:1250::46","","","NOT_OK","No se pudo completar todos los campos"
"2001:1250::47","","","NOT_OK","No se pudo completar todos los campos"
"2001:1250::48","","","NOT_OK","No se pudo completar todos los campos"
"2001:1250::49","","","NOT_OK","No se pudo completar todos los campos"
"2001:1250::58","","","NOT_OK","No se pudo completar todos los campos"
"2001:1250::59","","","NOT_OK","No se pudo completar todos los campos"
"2001:1250::60","","","NOT_OK","No se pudo completar todos los campos"
"2001:1250::61","","","NOT_OK","No se pudo completar todos los campos"
"2a02:e980:10c::d4","","","NOT_OK","No se pudo completar todos los campos"
"2a02:e980:10d::d4","","","NOT_OK","No se pudo completar todos los campos"
"2a02:e981:4b::d4","200.94.180.46","www.registry.mx","OK",""
"2a02:e981:4b::d4","200.94.180.47","www.registry.mx","OK",""
"2a02:e981:4b::d4","200.94.180.48","www.registry.mx","OK",""
"2a02:e981:4b::d4","200.94.180.49","www.registry.mx","OK",""
"","200.94.180.58","","NOT_OK","No se pudo completar todos los campos"
"","200.94.180.59","","NOT_OK","No se pudo completar todos los campos"
"","200.94.180.60","","NOT_OK","No se pudo completar todos los campos"
"","200.94.180.61","","NOT_OK","No se pudo completar todos los campos"
"2a02:e981:4b::d4","45.60.113.212","h2k3nym.x.incapdns.net","OK",""
"","45.60.113.212","","NOT_OK","No se pudo completar todos los campos"
"","45.60.86.212","","NOT_OK","No se pudo completar todos los campos"
"","40.124.123.20","beta.nicmexico.mx","OK",""
"2001:1250:ffe0:1::2","200.94.183.4","mail-ax.axtel-mty.nic.net.mx","OK",""
"2001:1250:fff0:1::3","200.94.182.4","mail-tri.triara-mty.nic.net.mx","OK",""
"","20.65.136.115","pre.nicmexico.mx","OK",""
"","","test.nicmexico.mx","NOT_OK","No se pudo completar todos los campos"
"","","www.beta.nicmexico.mx","NOT_OK","No se pudo completar todos los campos"
"2a02:e981:4b::d4","45.60.113.212","www.registry.mx","OK",""
"2a02:e981:4b::d4","45.60.113.212","h2k3nym.x.incapdns.net","OK",""
"","45.60.113.212","beta.www.registry.mx","OK",""
"","45.60.113.212","y9s8l5k.x.incapdns.net","OK",""
"2a02:e981:4b::d4","45.60.113.212","www.iar.mx","OK",""
"2a02:e981:4b::d4","45.60.113.212","j73w62q.x.incapdns.net","OK",""
"2a02:e981:4b::d4","45.60.113.212","www.nicmexico.mx","OK",""
"2a02:e981:4b::d4","45.60.113.212","llmldaq.x.incapdns.net","OK",""
"","45.60.113.212","www.dominios.mx","OK",""
"","45.60.113.212","lytm5w6.x.incapdns.net","OK",""
"","45.60.113.212","","NOT_OK","No se pudo completar todos los campos"
"2a02:e981:4b::d4","","","NOT_OK","No se pudo completar todos los campos"
